id,name,distribution
0,Undef0,0.092*locate + 0.066*meet_neg + 0.060*POSREVIEW + 0.040*conveniently + 0.038*communicative + 0.034*get_neg + 0.031*centrally + 0.030*HOSTNAME + 0.028*although + 0.023*chance_neg
1,Undef1,0.295*arrival + 0.130*day + 0.104*reservation + 0.086*cancel + 0.081*posting + 0.080*host + 0.078*automated + 0.074*upon + 0.003*difficulty_neg + 0.003*wednesday
2,Undef2,0.090*POSREVIEW + 0.034*HOSTNAME + 0.031*family + 0.017*two + 0.017*kitchen + 0.013*kid + 0.012*day + 0.011*old + 0.011*love + 0.011*daughter
3,Undef3,0.173*NEGREVIEW + 0.041*POSREVIEW + 0.027*HOSTNAME + 0.023*stay_neg + 0.023*could + 0.015*place_neg + 0.014*good_neg + 0.011*time_neg + 0.010*much_neg + 0.010*get_neg
4,+_Transportation_Nearby,0.243*walk + 0.180*distance + 0.143*within + 0.063*bart + 0.041*short + 0.037*restaurant + 0.029*station + 0.014*mission + 0.009*POSREVIEW + 0.007*lot
5,Undef5,0.021*glad + 0.020*POSREVIEW + 0.015*NEGREVIEW + 0.013*traveler + 0.013*courteous + 0.012*brother + 0.011*HOSTNAME + 0.011*adventure + 0.010*trader + 0.010*give_neg
6,Undef6,0.161*expect + 0.067*good + 0.058*basic + 0.026*accommodation + 0.019*geary + 0.018*hard + 0.016*POSREVIEW + 0.016*classic + 0.015*hotel + 0.012*security
7,Undef7,0.094*HOSTNAME + 0.091*POSREVIEW + 0.032*stay + 0.030*time + 0.026*place + 0.025*best + 0.023*house + 0.018*first + 0.018*experience + 0.017*go
8,Undef8,0.147*POSREVIEW + 0.050*HOSTNAME + 0.026*bus + 0.019*get + 0.016*house + 0.015*city + 0.015*downtown + 0.013*walk + 0.012*take + 0.011*also
9,Undef9,0.133*described + 0.064*delightful + 0.041*deal + 0.041*visitor + 0.037*HOSTNAME + 0.036*ease + 0.033*affordable + 0.030*highly_neg + 0.023*yes + 0.022*special
10,+_Toursim,0.178*park + 0.101*gate + 0.097*golden + 0.093*POSREVIEW + 0.035*beach + 0.031*close + 0.030*block + 0.027*walk + 0.023*dolores + 0.021*condo
11,Undef11,0.028*far_neg + 0.025*walk_neg + 0.025*car_neg + 0.024*need_neg + 0.024*around_neg + 0.018*POSREVIEW + 0.017*HOSTNAME + 0.016*trouble_neg + 0.015*want_neg + 0.015*even_neg
12,+_Transportation,0.067*minute + 0.057*car + 0.053*last + 0.047*parking + 0.036*drive + 0.034*uber + 0.031*garage + 0.030*POSREVIEW + 0.028*park + 0.019*rent
13,Undef13,0.058*cottage + 0.044*POSREVIEW + 0.019*HOSTNAME + 0.014*find_neg + 0.012*parking + 0.011*park_neg + 0.010*parking_neg + 0.010*save + 0.009*street_neg + 0.008*law
14,Undef14,0.163*POSREVIEW + 0.054*great + 0.041*HOSTNAME + 0.040*restaurant + 0.035*apartment + 0.026*location + 0.025*mission + 0.022*bar + 0.021*shop + 0.019*stay
15,+_HomeFeeling,0.109*home + 0.108*POSREVIEW + 0.049*like + 0.045*felt + 0.039*HOSTNAME + 0.038*feel + 0.022*make + 0.020*away + 0.010*right + 0.009*family
16,Undef16,0.220*POSREVIEW + 0.068*HOSTNAME + 0.065*stay + 0.050*would + 0.036*great + 0.032*definitely + 0.032*recommend + 0.030*place + 0.023*make + 0.022*apartment
17,Undef17,0.100*flat + 0.068*exactly + 0.068*listing + 0.054*describe + 0.052*instruction + 0.044*description + 0.043*apt + 0.043*POSREVIEW + 0.040*clear + 0.040*accurate
18,+_Host,0.211*POSREVIEW + 0.051*HOSTNAME + 0.014*coffee + 0.014*well + 0.013*stay + 0.011*lovely + 0.010*welcome + 0.009*comfortable + 0.009*make + 0.009*even
19,+_Host,0.154*POSREVIEW + 0.051*HOSTNAME + 0.034*check + 0.023*great + 0.023*place + 0.020*get + 0.016*even + 0.015*arrive + 0.015*stay + 0.014*time
20,Undef20,0.015*animal + 0.014*mother + 0.011*personable + 0.011*funky + 0.010*realize + 0.008*stand + 0.008*guidebook + 0.008*buena + 0.008*saturday + 0.008*purpose
21,Undef21,0.086*NEGREVIEW + 0.084*POSREVIEW + 0.019*room + 0.012*HOSTNAME + 0.012*bit + 0.011*bed + 0.011*night + 0.010*street + 0.009*bathroom + 0.009*one
22,Undef22,0.045*POSREVIEW + 0.033*towel + 0.015*provide + 0.015*etc + 0.014*wifi + 0.014*need + 0.012*tv + 0.012*sheet + 0.011*NEGREVIEW + 0.011*machine
23,Undef23,0.127*POSREVIEW + 0.065*HOSTNAME + 0.026*look + 0.018*city + 0.018*back + 0.016*garden + 0.016*view + 0.016*mission + 0.015*hill + 0.013*place
24,Undef24,0.058*HOSTNAME + 0.041*take + 0.037*POSREVIEW + 0.030*care + 0.024*make + 0.021*detail + 0.019*say + 0.013*tell + 0.013*guest + 0.013*feel
25,Undef25,0.344*POSREVIEW + 0.054*great + 0.052*HOSTNAME + 0.036*nice + 0.035*place + 0.028*clean + 0.027*stay + 0.023*host + 0.023*location + 0.021*really
26,Undef26,0.218*POSREVIEW + 0.026*HOSTNAME + 0.024*apartment + 0.021*great + 0.020*easy + 0.018*restaurant + 0.018*neighborhood + 0.016*public + 0.016*quiet + 0.015*close
27,Undef27,0.197*POSREVIEW + 0.075*HOSTNAME + 0.036*question + 0.024*stay + 0.020*quick + 0.019*respond + 0.019*always + 0.017*need + 0.015*host + 0.015*answer
